Seq_name;Complete_name
Gen-012;MDV1-13_O_D_6
Gen-061;MDV1-15_O_D_6
Gen-007;MDV1-23_O_D_6
Gen-005;MDV1-50_O_D_6
Gen-135;MDV1-16_O_D_24
Gen-170;MDV1-33_O_D_24
Gen-180;MDV1-41_O_D_24
Gen-134;MDV1-44_O_D_24
Gen-034;MDV1-18_O_D_72
Gen-065;MDV1-31_O_D_72
Gen-063;MDV1-46_O_D_72
Gen-117;MDV1-49_O_D_72
Gen-021;MDV1-9_O_D_144
Gen-004;MDV1-12_O_D_144
Gen-157;MDV1-24_O_D_144
Gen-107;MDV1-45_O_D_144
Gen-081;MDV1-13_O_L_6
Gen-119;MDV1-15_O_L_6
Gen-163;MDV1-23_O_L_6
Gen-066;MDV1-50_O_L_6
Gen-016;MDV1-16_O_L_24
Gen-103;MDV1-33_O_L_24
Gen-036;MDV1-41_O_L_24
Gen-139;MDV1-44_O_L_24
Gen-113;MDV1-18_O_L_72
Gen-152;MDV1-31_O_L_72
Gen-049;MDV1-46_O_L_72
Gen-193;MDV1-49_O_L_72
Gen-027;MDV1-9_O_L_144
Gen-038;MDV1-12_O_L_144
Gen-104;MDV1-24_O_L_144
Gen-179;MDV1-45_O_L_144
Gen-095;MDV2.3-18_O_D_6
Gen-037;MDV2.3-21_O_D_6
Gen-008;MDV2.3-33_O_D_6
Gen-159;MDV2.3-49_O_D_6
Gen-185;MDV2.3-13_O_D_24
Gen-048;MDV2.3-17_O_D_24
Gen-067;MDV2.3-30_O_D_24
Gen-191;MDV2.3-45_O_D_24
Gen-142;MDV2.3-15_O_D_72
Gen-090;MDV2.3-28_O_D_72
Gen-031;MDV2.3-32_O_D_72
Gen-155;MDV2.3-44_O_D_72
Gen-160;MDV2.3-19_O_D_144
Gen-178;MDV2.3-26_O_D_144
Gen-044;MDV2.3-46_O_D_144
Gen-080;MDV2.3-50_O_D_144
Gen-028;MDV2.3-18_O_L_6
Gen-184;MDV2.3-21_O_L_6
Gen-035;MDV2.3-33_O_L_6
Gen-071;MDV2.3-49_O_L_6
Gen-086;MDV2.3-13_O_L_24
Gen-073;MDV2.3-17_O_L_24
Gen-148;MDV2.3-30_O_L_24
Gen-085;MDV2.3-45_O_L_24
Gen-154;MDV2.3-15_O_L_72
Gen-091;MDV2.3-28_O_L_72
Gen-026;MDV2.3-32_O_L_72
Gen-123;MDV2.3-44_O_L_72
Gen-075;MDV2.3-19_O_L_144
Gen-022;MDV2.3-26_O_L_144
Gen-165;MDV2.3-46_O_L_144
Gen-118;MDV2.3-50_O_L_144
Gen-001;VAD2-14_O_D_6
Gen-137;VAD2-15_O_D_6
Gen-140;VAD2-29_O_D_6
Gen-059;VAD2-44_O_D_6
Gen-098;VAD2-25_O_D_24
Gen-194;VAD2-26_O_D_24
Gen-032;VAD2-28_O_D_24
Gen-094;VAD2-45_O_D_24
Gen-014;VAD2-17_O_D_72
Gen-175;VAD2-22_O_D_72
Gen-055;VAD2-33_O_D_72
Gen-182;VAD2-48_O_D_72
Gen-024;VAD2-18_O_D_144
Gen-029;VAD2-23_O_D_144
Gen-124;VAD2-35_O_D_144
Gen-127;VAD2-47_O_D_144
Gen-120;VAD2-14_O_L_6
Gen-128;VAD2-15_O_L_6
Gen-003;VAD2-29_O_L_6
Gen-141;VAD2-44_O_L_6
Gen-136;VAD2-25_O_L_24
Gen-101;VAD2-26_O_L_24
Gen-125;VAD2-28_O_L_24
Gen-006;VAD2-45_O_L_24
Gen-058;VAD2-17_O_L_72
Gen-145;VAD2-22_O_L_72
Gen-150;VAD2-33_O_L_72
Gen-116;VAD2-48_O_L_72
Gen-114;VAD2-18_O_L_144
Gen-126;VAD2-23_O_L_144
Gen-122;VAD2-35_O_L_144
Gen-060;VAD2-47_O_L_144
