Seq_name;Mseqs
Gen-005;506
Gen-007;50
Gen-012;10
Gen-061;242
Gen-134;86
Gen-135;86
Gen-170;646
Gen-180;72
Gen-034;358
Gen-063;94
Gen-065;168
Gen-117;98
Gen-004;1468
Gen-021;258
Gen-107;480
Gen-157;162
Gen-066;9590
Gen-081;11854
Gen-119;4424
Gen-163;5024
Gen-016;33478
Gen-036;19304
Gen-103;12410
Gen-139;18338
Gen-049;9252
Gen-113;6300
Gen-152;9996
Gen-193;17966
Gen-027;36880
Gen-038;4468
Gen-104;10314
Gen-179;13678
Gen-008;530
Gen-037;80
Gen-095;36
Gen-159;266
Gen-048;102
Gen-067;252
Gen-185;558
Gen-191;48
Gen-031;72
Gen-090;102
Gen-142;202
Gen-155;46
Gen-044;138
Gen-080;56
Gen-160;902
Gen-178;92
Gen-028;4180
Gen-035;8286
Gen-071;35848
Gen-184;9412
Gen-073;7888
Gen-085;13318
Gen-086;21182
Gen-148;13008
Gen-026;6802
Gen-091;15518
Gen-123;28884
Gen-154;37410
Gen-022;16392
Gen-075;8108
Gen-118;22318
Gen-165;16828
Gen-001;52
Gen-059;66
Gen-137;184
Gen-140;278
Gen-032;78
Gen-094;8
Gen-098;112
Gen-194;94
Gen-014;122
Gen-055;68
Gen-175;112
Gen-182;22
Gen-024;240
Gen-029;66
Gen-124;30
Gen-127;216
Gen-003;8804
Gen-120;12394
Gen-128;14506
Gen-141;15776
Gen-006;32060
Gen-101;3396
Gen-125;9118
Gen-136;34762
Gen-058;19392
Gen-116;17436
Gen-145;13196
Gen-150;8056
Gen-060;17510
Gen-114;11956
Gen-122;8934
Gen-126;9090
